NAME,ADDRESS,CITY,STATE
SAN CARLOS APACHE HEALTHCARE CORP,103 MEDICINE WAY ROAD,PERIDOT,AZ
SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,AZ
ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ
ST JOSEPH'S WESTGATE MEDICAL CENTER,7300 NORTH 99TH AVENUE,GLENDALE,AZ
"ST LUKE'S MEDICAL CENTER, LP",1800 EAST VAN BUREN STREET,PHOENIX,AZ
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ
ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ
TEMPE ST LUKE'S HOSPITAL,1500 SOUTH MILL AVENUE,TEMPE,AZ
TMC GEROPSYCHIATRIC CENTER AT HANDMAKER,"2221 NORTH ROSEMONT BOULEVARD, BLDG 3, SUITE 200",TUCSON,AZ
TOHONO O'ODHAM NATION HEALTH CARE - TON - SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ
TUBA CITY REGIONAL HEALTH CARE CORPORATION,"167 MAIN ST, PO BOX 600",TUBA CITY,AZ
TUCSON ER AND HOSPITAL,4575 EAST BROADWAY BOULEVARD,TUCSON,AZ
TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ
VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ
VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ
VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ
WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ
WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ
YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ
YAVAPAI REGIONAL MEDICAL CENTER - EAST CAMPUS,7700 EAST FLORENTINE ROAD,PRESCOTT VALLEY,AZ
YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ
BANNER GOOD SAMARITAN MEDICAL CENTER,"1300 NORTH 12TH STREET, SUITE 404",PHOENIX,AZ
BANNER UNIVERSITY MEDICAL CENTER AT THE ARIZONA HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ
"DEWITT HOSPITAL AND NURSING HOME, INC",1641 SOUTH WHITEHEAD DRIVE,DEWITT,AR
ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR
BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR
EVEREST REHABILITATION HOSPITAL NWA,4313 SOUTH PLEASANT CROSSING BOULEVARD,ROGERS,AR
MERCY HOSPITAL NORTHWEST ARKANSAS,2710 SOUTH RIFE MEDICAL LANE,ROGERS,AR
NORTHWEST MEDICAL CENTER - BENTONVILLE,3000 MEDICAL CENTER PARKWAY,BENTONVILLE,AR
OZARKS COMMUNITY HOSPITAL OF GRAVETTE,1101 JACKSON STREET SW,GRAVETTE,AR
SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,AR
NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR
BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,WARREN,AR
EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR
MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR
SOUTHEAST REHABILITATION HOSPITAL,905 BORGOGNONI DRIVE,LAKE VILLAGE,AR
BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR
PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,PIGGOTT,AR
BAPTIST HEALTH MEDICAL CENTER - HEBER SPRINGS,1800 BYPASS ROAD,HEBER SPRINGS,AR
MAGNOLIA REGIONAL MEDICAL CENTER,101 HOSPITAL DRIVE,MAGNOLIA,AR
CHI ST. VINCENT MORRILTON,4 HOSPITAL DRIVE,MORRILTON,AR
ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,"3024 RED WOLF BOULEVARD, SUITE 1",JONESBORO,AR
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF JONESBORO,1201 FLEMING AVENUE,JONESBORO,AR
NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE,JONESBORO,AR
ST. BERNARDS MEDICAL CENTER,225 EAST WASHINGTON AVENUE,JONESBORO,AR
ST. BERNARDS MEDICAL CENTER,2712 EAST JOHNSON AVENUE,JONESBORO,AR
BAPTIST HEALTH - VAN BUREN,211 CRAWFORD MEMORIAL DRIVE,VAN BUREN,AR
"BAPTIST MEMORIAL HOSPITAL - CRITTENDEN, INC",2100 NORTH SEVENTH STREET,WEST MEMPHIS,AR
CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,WYNNE,AR
DALLAS COUNTY MEDICAL CENTER,201 CLIFTON STREET,FORDYCE,AR
DELTA MEMORIAL HOSPITAL,811 HIGHWAY 65 SOUTH,DUMAS,AR
MCGEHEE HOSPITAL,900 SOUTH THIRD STREET,MCGEHEE,AR
BAPTIST HEALTH MEDICAL CENTER - CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR
CONWAY BEHAVIORAL HEALTH,2255 STURGIS ROAD,CONWAY,AR
CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,CONWAY,AR
CONWAY REGIONAL REHABILITATION HOSPITAL,2210 ROBINSON AVENUE,CONWAY,AR
MERCY HOSPITAL OZARK,801 WEST RIVER STREET,OZARK,AR
FULTON COUNTY HOSPITAL,679 NORTH MAIN STREET,SALEM,AR
CHI ST. VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR
CHI ST. VINCENT HOT SPRINGS REHABILITATION HOSPITAL - A PARTNER OF ENCOMPASS HEALTH,1636 HIGDON FERRY ROAD,HOT SPRINGS,AR
CHRISTUS DUBUIS HOSPITAL OF HOT SPRINGS,"300 WERNER STREET, 3RD FLOOR",HOT SPRINGS,AR
LEVI HOSPITAL,300 PROSPECT AVENUE,HOT SPRINGS,AR
NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR
ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR
WADLEY REGIONAL MEDICAL CENTER AT HOPE,2001 SOUTH MAIN,HOPE,AR
ARKANSAS DEPARTMENT OF CORRECTION - OUACHITA RIVER UNIT INPATIENT CARE FACILITY,100 WALCO LANE,MALVERN,AR
BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,1001 SCHNEIDER DRIVE,MALVERN,AR
HOWARD MEMORIAL HOSPITAL,130 MEDICAL CIRCLE,NASHVILLE,AR
WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR
"IZARD COUNTY MEDICAL CENTER, LLC",61 GRASSE STREET,CALICO ROCK,AR
UNITY HEALTH HARRIS MEDICAL CENTER,1205 MCLAIN STREET,NEWPORT,AR
JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR
JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR
LAWRENCE MEMORIAL HOSPITAL,1309 WEST MAIN,WALNUT RIDGE,AR
LITTLE RIVER MEMORIAL HOSPITAL,451 WEST LOCKE STREET,ASHDOWN,AR
MERCY HOSPITAL BOONEVILLE,880 WEST MAIN STREET,BOONEVILLE,AR
MERCY HOSPITAL PARIS,500 EAST ACADEMY,PARIS,AR
CABOT EMERGENCY HOSPITAL,212 WILLIE RAY DRIVE,CABOT,AR
RIVERVIEW BEHAVIORAL HEALTH,"701 ARKANSAS BOULEVARD, SUITE 300",TEXARKANA,AR
GREAT RIVER MEDICAL CENTER,1520 NORTH DIVISION STREET,BLYTHEVILLE,AR
SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR
OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR
HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR
MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR
ST. MARY'S REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR
ARKANSAS CHILDREN'S HOSPITAL,"1 CHILDREN'S WAY, SLOT 301",LITTLE ROCK,AR
"ARKANSAS HEART HOSPITAL, LLC",1701 SOUTH SHACKLEFORD ROAD,LITTLE ROCK,AR
ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,NORTH LITTLE ROCK,AR
"BAPTIST HEALTH EXTENDED CARE HOSPTIAL - LITTLE ROCK, INC","9601 BAPTIST HEALTH DRIVE, 10TH FLOOR",LITTLE ROCK,AR
BAPTIST HEALTH MEDICAL CENTER - LITTLE ROCK,9601 BAPTIST HEALTH DRIVE,LITTLE ROCK,AR
BAPTIST HEALTH MEDICAL CENTER - LITTLE ROCK,11401 INTERSTATE 30,LITTLE ROCK,AR
BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR
BAPTIST HEALTH REHABILITATION INSTITUTE,9601 BAPTIST HEALTH DRIVE,LITTLE ROCK,AR
CHI ST. VINCENT INFIRMARY,2 ST VINCENT CIRCLE,LITTLE ROCK,AR
CHI ST. VINCENT SHERWOOD REHABILITATION HOSPITAL - PARTNER OF ENCOMPASS HEALTH,2201 WILDWOOD AVENUE,SHERWOOD,AR
CORNERSTONE SPECIALTY HOSPITALS LITTLE ROCK,"2 ST VINCENT CIRCLE, 6TH FLOOR",LITTLE ROCK,AR
PINNACLE POINTE BEHAVIORAL HEALTHCARE SYSTEM,11501 FINANCIAL CENTRE PARKWAY,LITTLE ROCK,AR
ST. VINCENT MEDICAL CENTER - NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR
THE BRIDGEWAY,21 BRIDGEWAY ROAD,NORTH LITTLE ROCK,AR
UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET,LITTLE ROCK,AR
UNITED METHODIST BEHAVIORAL HOSPITAL,1601 MURPHY DRIVE,MAUMELLE,AR
ST. BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR
RIVENDELL BEHAVIORAL HEALTH SERVICES OF ARKANSAS,100 RIVENDELL DRIVE,BENTON,AR
SALINE MEMORIAL HOSPITAL,1 MEDICAL PARK DRIVE,BENTON,AR
MERCY HOSPITAL WALDRON,1341 WEST SIXTH STREET,WALDRON,AR
BAPTIST HEALTH - FORT SMITH,1001 TOWSON AVENUE,FORT SMITH,AR
CHRISTUS DUBUIS HOSPITAL OF FORT SMITH,"7301 ROGERS AVENUE, 4TH FLOOR",FORT SMITH,AR
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FORT SMITH,1401 SOUTH J STREET,FORT SMITH,AR
MERCY HOSPITAL FORT SMITH,7301 ROGERS AVENUE,FORT SMITH,AR
MERCY ORTHOPEDIC HOSPITAL FORT SMITH,3601 SOUTH 79TH STREET,FORT SMITH,AR
"SELECT SPECIALTY HOSPITAL - FORT SMITH, INC","1001 TOWSON AVENUE, SIXTH FLOOR",FORT SMITH,AR
VALLEY BEHAVIORAL HEALTH SYSTEM,10301 MAYO DRIVE,BARLING,AR
FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR
STONE COUNTY MEDICAL CENTER,2106 EAST MAIN STREET,MOUNTAIN VIEW,AR
OZARK HEALTH,2500 HIGHWAY 65 SOUTH,CLINTON,AR
"ARKANSAS CHILDREN'S NORTHWEST, INC",2601 GENE GEORGE BOULEVARD,SPRINGDALE,AR
ENCOMPASS HEALTH REHABILITATION HOSPITAL - A PARTNER OF WASHINGTON REGIONAL,153 EAST MONTE PAINTER DRIVE,FAYETTEVILLE,AR
NORTHWEST HEALTH PHYSICIANS' SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,FAYETTEVILLE,AR
NORTHWEST MEDICAL CENTER,609 WEST MAPLE AVENUE,SPRINGDALE,AR
NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,4301 GREATHOUSE SPRINGS ROAD,JOHNSON,AR
REGENCY HOSPITAL OF SPRINGDALE,609 WEST MAPLE AVENUE,SPRINGDALE,AR
VANTAGE POINT OF NORTHWEST ARKANSAS,4253 CROSSOVER ROAD,FAYETTEVILLE,AR
WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR
ADVANCED CARE HOSPITAL OF WHITE COUNTY,1200 SOUTH MAIN STREET,SEARCY,AR
UNITY HEALTH SPECIALTY CARE CAMPUS,1200 SOUTH MAIN STREET,SEARCY,AR
UNITY HEALTH WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR
CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,DANVILLE,AR
DARDANELLE HOSPITAL,200 NORTH THIRD STREET,DARDANELLE,AR
MERCY REHABILITATION HOSPITAL,6700 CHAD COLLEY BOULEVARD,FORT SMITH,AR
CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 AND HIGHWAY 82,LAKE VILLAGE,AR
SPRINGWOODS BEHAVIORAL HEALTH SERVICES,1955 WEST TRUCKER'S DRIVE,FAYETTEVILLE,AR
METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,CA
SUTTER AMADOR HOSPITAL,200 MISSION BOULEVARD,JACKSON,CA
SUTTER AUBURN FAITH HOSPITAL,11815 EDUCATION STREET,AUBURN,CA
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,2315 STOCKTON BOULEVARD,SACRAMENTO,CA
BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,CA
DAMERON HOSPITAL,525 W ACACIA STREET,STOCKTON,CA
DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA
MARK TWAIN MEDICAL CENTER,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,CA
MARSHALL MEDICAL CENTER,1100 MARSHALL WAY,PLACERVILLE,CA
DOCTORS MEDICAL CENTER,1441 FLORIDA AVE,MODESTO,CA
MEMORIAL MEDICAL CENTER,1700 COFFEE RD,MODESTO,CA
MERCY GENERAL HOSPITAL,4001 J STREET,SACRAMENTO,CA
EMANUEL MEDICAL CENTER,825 DELBON AVE,TURLOCK,CA
MERCY SAN JUAN MEDICAL CENTER,6501 COYLE AVENUE,CARMICHAEL,CA
CENTRAL VALLEY SPECIALTY HOSPITAL,730 17TH ST,MODESTO,CA
KAISER FOUNDATION HOSPITAL - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,CA
OAK VALLEY HOSPITAL DISTRICT,350 S OAK AVE,OAKDALE,CA
KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,6600 BRUCEVILLE ROAD,SACRAMENTO,CA
SUTTER ROSEVILLE MEDICAL CENTER,1 MEDICAL PLAZA DR,ROSEVILLE,CA
SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL ROAD,FRENCH CAMP,CA
ADVENTIST HEALTH LODI MEMORIAL,975 S FAIRMONT AVENUE,LODI,CA
SUTTER TRACY COMMUNITY HOSPITAL,1420 N TRACY BOULEVARD,TRACY,CA
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA STREET,STOCKTON,CA
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA
SUTTER DAVIS HOSPITAL,2000 SUTTER PLACE,DAVIS,CA
SUTTER MEDICAL CENTER - SACRAMENTO,2825 CAPITOL AVENUE,SACRAMENTO,CA
WOODLAND MEMORIAL HOSPITAL D/P APH,1325 COTTONWOOD STREET,WOODLAND,CA
"SIERRA VISTA HOSPITAL, INC",8001 BRUCEVILLE ROAD,SACRAMENTO,CA
ADVENTIST HEALTH SONORA,179 FAIRVIEW LANE,SONORA,CA
SUTTER CENTER FOR PSYCHIATRY,7700 FOLSOM BLVD,SACRAMENTO,CA
HERITAGE OAKS HOSPITAL,4250 AUBURN BOULEVARD,SACRAMENTO,CA
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 N CALIFORNIA STREET,STOCKTON,CA
MERCY HOSPITAL OF FOLSOM,1650 CREEKSIDE DRIVE,FOLSOM,CA
VIBRA HOSPITAL OF SACRAMENTO,330 MONTROSE DRIVE,FOLSOM,CA
KAISER FOUNDATION HOSPITAL MANTECA,1777 W YOSEMITE AVENUE,MANTECA,CA
KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,ROSEVILLE,CA
SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIFORNIA,2425 STOCKTON BOULEVARD,SACRAMENTO,CA
DOCTORS MEDICAL CENTER - BEHAVIORAL HEALTH DEPARTMENT,1501 CLAUS RD,MODESTO,CA
STANISLAUS SURGICAL HOSPITAL,1421 OAKDALE RD,MODESTO,CA
ADVENTIST HEALTH SONORA,1000 GREENLEY ROAD,SONORA,CA
CLOVIS COMMUNITY MEDICAL CENTER,2755 HERNDON AVE,CLOVIS,CA
COALINGA REGIONAL MEDICAL CENTER,1191 PHELPS AVE,COALINGA,CA
COMMUNITY REGIONAL MEDICAL CENTER,2823 FRESNO ST,FRESNO,CA
JOHN C. FREMONT HEALTHCARE DISTRICT,5189 HOSPITAL RD,MARIPOSA,CA
MEMORIAL HOSPITAL LOS BANOS,520 W I ST,LOS BANOS,CA
MADERA COMMUNITY HOSPITAL,1250 E ALMOND AVE,MADERA,CA
MERCY MEDICAL CENTER,333 MERCY AVE,MERCED,CA
ADVENTIST HEALTH SELMA,1141 ROSE AVE,SELMA,CA
ADVENTIST HEALTH REEDLEY,372 W CYPRESS AVE,REEDLEY,CA
SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA
VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDRENS PLACE,MADERA,CA
FRESNO SURGICAL HOSPITAL,6125 N FRESNO ST,FRESNO,CA
COMMUNITY BEHAVIORAL HEALTH CENTER,7171 N CEDAR AVE,FRESNO,CA
SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,7173 N SHARON AVE,FRESNO,CA
KAISER FOUNDATION HOSPITAL - FRESNO,7300 N FRESNO ST,FRESNO,CA
FRESNO HEART AND SURGICAL HOSPITAL,15 E AUDUBON DR,FRESNO,CA
MARIAN REGIONAL MEDICAL CENTER - ARROYO GRANDE,345 S HALCYON RD,ARROYO GRANDE,CA
COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA,147 N BRENT ST,VENTURA,CA
FRENCH HOSPITAL MEDICAL CENTER,1911 JOHNSON AVE,SAN LUIS OBISPO,CA
GOLETA VALLEY COTTAGE HOSPITAL,351 S PATTERSON AVE,SANTA BARBARA,CA
LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVE,LOMPOC,CA
LOS ROBLES HOSPITAL AND MEDICAL CENTER,215 W JANSS RD,THOUSAND OAKS,CA
MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH ST,SANTA MARIA,CA
COTTAGE REHABILITATION HOSPITAL,2415 DE LA VINA ST,SANTA BARBARA,CA
OJAI VALLEY COMMUNITY HOSPITAL,1306 MARICOPA HWY,OJAI,CA
ST. JOHN'S HOSPITAL CAMARILLO,2309 ANTONIO AVE,CAMARILLO,CA
SANTA YNEZ VALLEY COTTAGE HOSPITAL,2050 VIBORG RD,SOLVANG,CA
TENET HEALTH CENTRAL COAST SIERRA VISTA REGIONAL MEDICAL CENTER,1010 MURRAY AVE,SAN LUIS OBISPO,CA
ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,OXNARD,CA
TENET HEALTH CENTRAL COAST TWIN CITIES COMMUNITY HOSPITAL,1100 LAS TABLAS ROAD,TEMPLETON,CA
VENTURA COUNTY MEDICAL CENTER,300 HILLMONT AVE,VENTURA,CA
AURORA VISTA DEL MAR HOSPITAL,801 SENECA ST,VENTURA,CA
VENTURA COUNTY MEDICAL CENTER INPATIENT D/P APH,200 HILLMONT AVE,VENTURA,CA
SANTA BARBARA COTTAGE HOSPITAL,400 WEST PUEBLO STREET,SANTA BARBARA,CA
ADVENTIST HEALTH SIMI VALLEY,2975 SYCAMORE DRIVE,SIMI VALLEY,CA
LOS ROBLES HOSPITAL AND MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILLAGE,CA
SANTA BARBARA COUNTY PSYCHIATRIC HEALTH FACILITY,315 CAMINO DEL REMEDIO,SANTA BARBARA,CA
SANTA BARBARA COTTAGE HOSPITAL - D/P APH,400 W PUEBLO ST,SANTA BARBARA,CA
THOUSAND OAKS SURGICAL HOSPITAL - A CAMPUS OF LOS ROBLES HOSPIAL AND MEDICAL CENTER,401 ROLLING OAKS DR,THOUSAND OAKS,CA
AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVE,ANAHEIM,CA
CHAPMAN GLOBAL MEDICAL CENTER,2601 E CHAPMAN AVE,ORANGE,CA
CHILDREN'S HOSPITAL OF ORANGE COUNTY,1201 W LA VETA AVE,ORANGE,CA
COLLEGE HOSPITAL COSTA MESA,301 VICTORIA ST,COSTA MESA,CA
FOUNTAIN VALLEY REGIONAL HOSPITAL AND MEDICAL CENTER,17100 EUCLID ST,FOUNTAIN VALLEY,CA
FOOTHILL REGIONAL MEDICAL CENTER,14662 NEWPORT AVE,TUSTIN,CA
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,1 HOAG DR,NEWPORT BEACH,CA
HUNTINGTON BEACH HOSPITAL,17772 BEACH BLVD,HUNTINGTON BEACH,CA
WEST ANAHEIM MEDICAL CENTER,3033 W ORANGE AVE,ANAHEIM,CA
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIR,WESTMINSTER,CA
SOUTH COAST GLOBAL MEDICAL CENTER,2701 S BRISTOL ST,SANTA ANA,CA
LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER ST,LA PALMA,CA
LOS ALAMITOS MEDICAL CENTER,3751 KATELLA AVE,LOS ALAMITOS,CA
LAC - HARBOR UCLA MEDICAL CENTER,1000 W CARSON ST,TORRANCE,CA
LAC - RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,7601 IMPERIAL HWY,DOWNEY,CA
MARTIN LUTHER KING JR. COMMUNITY HOSPITAL,1680 EAST 120TH STREET,LOS ANGELES,CA
LAC - OLIVE VIEW - UCLA MEDICAL CENTER,14445 OLIVE VIEW DR,SYLMAR,CA
LAC USC MEDICAL CENTER,1200 N STATE ST,LOS ANGELES,CA
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,12601 GARDEN GROVE BLVD,GARDEN GROVE,CA
PROVIDENCE MISSION HOSPITAL,27700 MEDICAL CENTER RD,MISSION VIEJO,CA
PLACENTIA LINDA HOSPITAL,1301 N ROSE DR,PLACENTIA,CA
MEMORIALCARE SADDLEBACK MEDICAL CENTER,24451 HEALTH CENTER DR,LAGUNA HILLS,CA
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,SAN CLEMENTE,CA
PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH,31872 COAST HWY,LAGUNA BEACH,CA
PROVIDENCE ST. JOSEPH HOSPITAL,1100 W STEWART DR,ORANGE,CA
PROVIDENCE ST. JUDE MEDICAL CENTER,101 E VALENCIA MESA DR,FULLERTON,CA
UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,101 THE CITY DR S,ORANGE,CA
ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 N TUSTIN AVE,SANTA ANA,CA
ANAHEIM GLOBAL MEDICAL CENTER,1025 S ANAHEIM BLVD,ANAHEIM,CA
NEWPORT BAY HOSPITAL,1501 E 16TH ST,NEWPORT BEACH,CA
MEMORIALCARE ORANGE COAST MEDICAL CENTER,9920 TALBERT AVE,FOUNTAIN VALLEY,CA
HUNTINGTON BEACH HOSPITAL D/P APH,17772 BEACH BLVD,HUNTINGTON BEACH,CA
LOS ANGELES COUNTY OLIVE VIEW - UCLA MED CTR D/P APH,14445 OLIVE VIEW DR,SYLMAR,CA
ANAHEIM GLOBAL MEDICAL CENTER D/P APH,1025 S ANAHEIM BLVD,ANAHEIM,CA
ST. JOSEPH HOSPITAL D/P APH,1100 W STEWART DR,ORANGE,CA
MISSION HOSPITAL LAGUNA BEACH D/P APH,31872 COAST HWY,LAGUNA BEACH,CA
LAC - HARBOR - UCLA MEDICAL CENTER D/P APH,1000 W CARSON ST,TORRANCE,CA
LAC - USC MEDICAL CENTER D/P APH,1200 N STATE ST,LOS ANGELES,CA
COLLEGE HOSPITAL COSTA MESA D/P APH,301 VICTORIA ST,COSTA MESA,CA
FOUNTAIN VALLEY REGIONAL HOSPITAL AND MEDICAL CENTER,11250 WARNER AVE,FOUNTAIN VALLEY,CA
LA PALMA INTERCOMMUNITY HOSPITAL D/P APH,7901 WALKER ST,LA PALMA,CA
HOAG HOSPITAL IRVINE,16200 SAND CANYON AVE,IRVINE,CA
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,14851 YORBA ST,TUSTIN,CA
CHILDREN'S HOSPITAL AT MISSION,27700 MEDICAL CENTER RD,MISSION VIEJO,CA
ORANGE COUNTY GLOBAL MEDICAL CENTER D/P APH,1001 N TUSTIN AVE,SANTA ANA,CA
KINDRED HOSPITAL BREA,875 N BREA BLVD,BREA,CA
"SOUTH COAST GLOBAL MEDICAL CENTER, INC D/P APH",2701 S BRISTOL ST,SANTA ANA,CA
WEST ANAHEIM MEDICAL CENTER D/P APH,3033 W ORANGE AVE,ANAHEIM,CA
HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE,393 S TUSTIN ST,ORANGE,CA
CHAPMAN GLOBAL MEDICAL CENTER D/P APH,2601 E CHAPMAN AVE,ORANGE,CA
REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVE,SAN JOSE,CA
EL CAMINO HEALTH LOS GATOS,815 POLLARD RD,LOS GATOS,CA
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 WR HOLMAN HWY,MONTEREY,CA
DOMINICAN HOSPITAL,1555 SOQUEL DR,SANTA CRUZ,CA
GEORGE L. MEE MEMORIAL HOSPITAL,300 CANAL ST,KING CITY,CA
HAZEL HAWKINS MEMORIAL HOSPITAL,911 SUNSET DR,HOLLISTER,CA
NATIVIDAD MEDICAL CENTER,1441 CONSTITUTION BLVD,SALINAS,CA
O'CONNOR HOSPITAL,2105 FOREST AVE,SAN JOSE,CA
SALINAS VALLEY MEMORIAL HOSPITAL,450 E ROMIE LN,SALINAS,CA
SANTA CLARA VALLEY MEDICAL CENTER,751 S BASCOM AVE,SAN JOSE,CA
